DATA DE REGISTRO,NORMA,LINK,ORIGEM,SITUAÇÃO,RESUMO,TEMA,ESTADO DE CUMPRIMENTO,ÁREA RESPONSÁVEL,CUMPRDEC CNJ/OFÍCIO CSJT,PROAD,PLANO DE AÇÃO PARA ADOÇÃO,LINK PARA PLANILHA,TOTAL ITENS SIM,TOTAL ITENS NÃO,OBSERVAÇÕES,LINK PARA FORMULÁRIO,PRIORIDADE DE FORMULÁRIO,IAD,NORMA - ORIGEM
17/03/2011,Resolução nº 129/2011,https://atos.cnj.jus.br/files/resolucao_129_17032011_10102012215434.pdf,CNJ,Vigente,Extinção do Prêmio Nacional de Estatísticas Judiciárias.,Gestão da Informação e de Demandas Judiciais,Não se aplica,Não se aplica,-,-,Não se aplica,,,,Extinção de prêmio.,,Não se aplica,,Resolução nº 129/2011 - CNJ
28/04/2011,Resolução nº 130/2011,https://atos.cnj.jus.br/files/resolucao_130_28042011_10102012202301.pdf,CNJ,Revogada,"Acrescenta os §§ 3º e 4º ao art. 1º da Resolução nº 88, de 8 de setembro de 2009.",Gestão Administrativa,Não se aplica,Não se aplica,-,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 130/2011 - CNJ
29/04/2011,Resolução nº 77/2011,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/12777/2011_res0077_csjt.pdf?sequence=3&isAllowed=y,CSJT,Meramente alteradora,"Altera o parágrafo único do art. 7º da Resolução n. 63, de 28 de maio de 2010, que institui a padronização da estrutura organizacional e de pessoal dos órgãos da Justiça do Trabalho de primeiro e segundo graus.",Gestão Administrativa,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 77/2011 - CSJT
26/05/2011,Resolução nº 131/2011,https://atos.cnj.jus.br/files/resolucao_131_26052011_10102012221336.pdf,CNJ,Vigente,"Dispõe sobre a concessão de autorização de viagem para o exterior de crianças e adolescentes brasileiros, e revoga a Resolução nº 74/2009 do CNJ.",Infância e Juventude,Não se aplica,Não se aplica,-,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 131/2011 - CNJ
02/06/2011,Resolução nº 78/2011,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/13198/2011_res0078_csjt_rep01.pdf?sequence=8&isAllowed=y,CSJT,Meramente alteradora,"Altera a redação do art. 3º da Resolução n. 66/CSJT, de 10 de junho de 2010, que regulamenta, no âmbito da Justiça do Trabalho de primeiro e segundo graus, a responsabilidade pelo pagamento e antecipação de honorários do perito, do tradutor e do intérprete.",Funcionamento dos Órgãos Judiciais,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 78/2011 - CSJT
07/06/2011,Resolução nº 79/2011,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/13316/2011_res0079_csjt.pdf?sequence=3&isAllowed=y,CSJT,Meramente alteradora,"Altera o parágrafo único do art. 17 da Resolução n. 68, de 21 de junho de 2010, do Conselho Superior da Justiça do Trabalho, que dispõe sobre aquisição, alienação, locação, condução, utilização, manutenção e controle de veículos no âmbito da Justiça do Trabalho de primeiro e segundo graus.",Gestão Administrativa,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 79/2011 - CSJT
21/06/2011,Resolução nº 80/2011,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/13676/2011_res0080_csjt_vigente.pdf?sequence=1&isAllowed=y,CSJT,Revogada,Institui a Política Nacional de Comunicação Social no âmbito do Conselho Superior da Justiça do Trabalho e da Justiça do Trabalho de primeiro e segundo graus.,Tecnologia da Informação e Comunicação,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 80/2011 - CSJT
21/06/2011,Resolução nº 132/2011,https://atos.cnj.jus.br/files/resolucao_132_21062011_11102012181743.pdf,CNJ,Meramente alteradora,"Altera dispositivos dos arts. 5º, 7º, 25, 29 e 31 da Resolução nº 114 do Conselho Nacional de Justiça.",Controle Administrativo e Financeiro,Não se aplica,Não se aplica,0003287-49.2010.2.00.0000,,,,,,,,Não se aplica,,Resolução nº 132/2011 - CNJ
21/06/2011,Resolução n° 133/2011,https://atos.cnj.jus.br/atos/detalhar/142,CNJ,Alterada,Dispõe sobre a simetria constitucional entre Magistratura e Ministério Público e equiparação de vantagens.,Direitos e Deveres dos Magistrados,"100,00%",Secretaria Geral da Presidência,,,,https://docs.google.com/spreadsheets/d/1L8ErETxyWPz3rrfxczreRlrvZXyPodaS6Tf8qUTxuMQ/edit?resourcekey=&gid=1452922175#gid=1452922175,6,0,,https://docs.google.com/forms/d/1N1GfYiFC3YUeCww1x-mysbykPCj3eQTdeN_ljZ4VTEc/edit,Não,"100,00%",Resolução n° 133/2011 - CNJ
21/06/2011,Resolução nº 134/2011,https://atos.cnj.jus.br/atos/detalhar/139,CNJ,Vigente,Dispõe sobre o depósito judicial de armas de fogo e munições e a sua destinação.,Controle Administrativo e Financeiro,Em análise,Secretaria Geral da Presidência,0003868-30.2011.2.00.0000,,,https://docs.google.com/spreadsheets/d/1Dutvv_x8qGOKpAp0-k41WWprHTKtnl7cLkJMJSnddnY/edit?resourcekey=&gid=117444304#gid=117444304,,,,https://docs.google.com/forms/d/1B-Q3uu34Ft1-8dUrx_nOTbzGqdEbF398viO0_Vjs37o/edit,Sim,,Resolução nº 134/2011 - CNJ
