NORMA,ORIGEM,LINK PARA PLANILHA,ÁREA RESPONSÁVEL,NORMA - ORIGEM
Resolução nº 433/2021,CNJ,https://docs.google.com/spreadsheets/d/1hIMQTe45jqXdMoBOc7jURJQMuKYfQS7XoW8hSe7_Q5s/edit?resourcekey=&gid=93203218#gid=93203218,Secretaria Geral da Presidência,Resolução nº 433/2021 - CNJ
Resolução nº 435/2021,CNJ,https://docs.google.com/spreadsheets/d/1WPg9SMbLzZI9lTTd7BFwxxIr-qaZU-0UfN4E11r8rE4/edit?resourcekey=&gid=507667596#gid=507667596,Secretaria Geral da Presidência,Resolução nº 435/2021 - CNJ
Resolução nº 315/2021,CSJT,https://docs.google.com/spreadsheets/d/1n7vpJJTDgajfISTRX16Ye1cIP13XMwu0n6hatmNl3V0/edit?resourcekey=&gid=503305968#gid=503305968,Secretaria Geral da Presidência,Resolução nº 315/2021 - CSJT
Resolução nº 319/2021,CSJT,https://docs.google.com/spreadsheets/d/1Cmn21XcebPNsfQXETdvoW93X4arc9GXADPes70NNXCc/edit?resourcekey=&gid=2139859279#gid=2139859279,Secretaria Geral da Presidência,Resolução nº 319/2021 - CSJT
Resolução nº 259/2020,CSJT,https://docs.google.com/spreadsheets/d/1y8b9d4xZYhLgMeNHD_AtayTULzRvTWgwdSVaggOd3bk/edit?resourcekey=&gid=1277649245#gid=1277649245,Secretaria de Governança e Gestão Estratégica,Resolução nº 259/2020 - CSJT
Resolução nº 315/2020,CNJ,https://docs.google.com/spreadsheets/d/1IdbYnw1r4XAO4tY55PIbRo-wj7j8GSk4cyiyi9F37S0/edit?resourcekey=&gid=475244956#gid=475244956,Diretoria Geral,Resolução nº 315/2020 - CNJ
Resolução nº 325/2020,CNJ,https://docs.google.com/spreadsheets/d/19P6U4Huu04zlq_y6sZxg3rXLFuVWTSmMjLOwMTt9A4w/edit?resourcekey=&gid=2031381309#gid=2031381309,Secretaria de Governança e Gestão Estratégica,Resolução nº 325/2020 - CNJ
Resolução nº 324/2020,CNJ,https://docs.google.com/spreadsheets/d/1Xh8v_rNoJIE1JHPIZJrgZp7fpfjCv2AjMUKeKSrct8A/edit?resourcekey=&gid=1680416134#gid=1680416134,Secretaria Geral da Presidência,Resolução nº 324/2020 - CNJ
Resolução nº 333/2020,CNJ,https://docs.google.com/spreadsheets/d/1URrZ8KdCkzOsB3KCfdOYzX_SebxpaJ9alWHT-Nq1TkE/edit?resourcekey=&gid=1362416048#gid=1362416048,Secretaria de Governança e Gestão Estratégica,Resolução nº 333/2020 - CNJ
Resolução nº 344/2020,CNJ,https://docs.google.com/spreadsheets/d/11fWo_3db5bvv5ya2frnGlqtFgh_hVv1deq8zoCZMhuU/edit?resourcekey=&gid=347881443#gid=347881443,Secretaria Geral da Presidência,Resolução nº 344/2020 - CNJ
Resolução nº 345/2020,CNJ,https://docs.google.com/spreadsheets/d/1U0ycjv891rUv1noiZ_Cwj63oa60-jn2Zw9_2XPdacEo/edit?resourcekey=&gid=30488779#gid=30488779,Secretaria Geral da Presidência,Resolução nº 345/2020 - CNJ
Resolução nº 347/2020,CNJ,https://docs.google.com/spreadsheets/d/1V_GI79tbFY8UcPn_21ZZkXVThzvRvlaP50mXCn_KCrw/edit?resourcekey=&gid=708686557#gid=708686557,Secretaria Geral da Presidência,Resolução nº 347/2020 - CNJ
Resolução nº 350/2020,CNJ,https://docs.google.com/spreadsheets/d/1r0v1uKRYJ4w13pETXDxPXZQq15TAmnzPEHgygz-5i3o/edit?resourcekey=&gid=1955138146#gid=1955138146,Secretaria Geral da Presidência,Resolução nº 350/2020 - CNJ
